cidade,distcapital
PEDRINHAS PAULISTA,482
PEDRO DE TOLEDO,144
PENÁPOLIS,478
PEREIRA BARRETO,638
PEREIRAS,167
PERUÍBE,138
PIACATU,535
PIEDADE,100
PILAR DO SUL,150
PINDAMONHANGABA.. .146
PINDORAMA,390
PINHALZINHO,114
PIQUEROBI,603
PIQUETE,207
PIRACAIA,90
PIRACICABA,164
PIRAJU,333
PIRAJUÍ,383
PIRANGI,394
PIRAPORA DO BOM JESUS,61
PIRAPOZINHO,574
PIRASSUNUNGA,230
PIRATININGA,335
PITANGUEIRAS,387
PLANALTO,523
PLATINA,423
POÁ,47
POLONI,500
POMPÉIA,468
PONGAÍ,413
PONTAL,374
PONTALINDA,595
PONTES GESTAL,564
POPULINA,622
PORANGABA,171
PORTO FELIZ,117
PORTO FERREIRA,252
POTIM,171
POTIRENDABA,449
PRACINHA,591
PRADÓPOLIS,336
PRAIA GRANDE,76
PRATÂNIA,268
PRESIDENTE ALVES,383
PRESIDENTE BERNARDES,578
PRESIDENTE EPITÁCIO,643
PRESIDENTE PRUDENTE,556
PRESIDENTE VENCESLAU,610
PROMISSÃO,453
QUADRA,165
QUATÁ,488
QUEIROZ,507
QUELUZ,231
QUINTANA,483
RAFARD,143
RANCHARIA,506
REDENÇÃO DA SERRA,165
REGENTE FEIJÓ,544
REGINÓPOLIS,396
REGISTRO,186
RESTINGA,407
RIBEIRA,357
RIBEIRÃO BONITO,279
RIBEIRÃO BRANCO,294
RIBEIRÃO CORRENTE,439
RIBEIRÃO DO SUL,392
RIBEIRÃO DOS ÍNDIOS,604
RIBEIRÃO GRANDE,241
RIBEIRÃO PIRES,34
RIBEIRÃO PRETO,336
RIFAINA,479
RINCÃO,306
RINÓPOLIS,548
RIO CLARO,190
RIO DAS PEDRAS,158
RIO GRANDE DA SERRA,49
RIOLÂNDIA,575
RIVERSUL,381
ROSANA,758
ROSEIRA,159
RUBIÁCEA,556
RUBINÉIA,644
SABINO,469
SAGRES,572
SALES,449
SALES OLIVEIRA,381
SALESÓPOLIS,103
SALMOURÃO,572
SALTINHO,174
SALTO,104
SALTO DE PIRAPORA,124
SALTO GRANDE,383
SANDOVALINA,613
SANTA ADÉLIA,383
SANTA ALBERTINA,628
SANTA BÁRBARA D'OESTE,138 	• SANTA BRANCA...94
SANTA CLARA D'OESTE,650
SANTA CRUZ DA CONCEIÇÃO,218
SANTA CRUZ DA ESPERANÇA,332
SANTA CRUZ DAS PALMEIRAS,261
SANTA CRUZ DO RIO PARDO,344
SANTA ERNESTINA,336
SANTA FÉ DO SUL,638
SANTA GERTRUDES,183
SANTA ISABEL,58
SANTA LÚCIA,305
SANTA MARIA DA SERRA,218
SANTA MERCEDES,662
SANTA RITA D'OESTE,641
SANTA RITA DO PASSA QUATRO,271
SANTA ROSA DE VITERBO,302
SANTA SALETE,614
SANTANA DA PONTE PENSA,625
SANTANA DE PARNAÍBA,40
SANTO ANASTÁCIO,587
SANTO ANDRÉ,20
SANTO ANTÔNIO DA ALEGRIA,330
SANTO ANTÔNIO DE POSSE,138
SANTO ANTÔNIO DO ARACANGUÁ,556
SANTO ANTÔNIO DO JARDIM,205
SANTO ANTÔNIO DO PINHAL,161
SANTO EXPEDITO,598
SANTÓPOLIS DO AGUAPEÍ,523
SANTOS,77
SÃO BENTO DO SAPUCAÍ,190
SÃO BERNARDO DO CAMPO,21
SÃO CAETANO DO SUL,11
SÃO CARLOS,255
SÃO FRANCISCO,619
SÃO JOÃO DA BOA VISTA,218
SÃO JOÃO DAS DUAS PONTES,595
SÃO JOÃO DE IRACEMA,575
SÃO JOÃO DO PAU D'ALHO,665
SÃO JOAQUIM DA BARRA,399
SÃO JOSÉ DA BELA VISTA,412
SÃO JOSÉ DO BARREIRO,267
SÃO JOSÉ DO RIO PARDO,257
SÃO JOSÉ DO RIO PRETO,452
SÃO JOSÉ DOS CAMPOS,92
SÃO LOURENÇO DA SERRA,53
SÃO LUÍS DO PARAITINGA,172
SÃO MANUEL,258
SÃO MIGUEL ARCANJO,182
SÃO PEDRO,191
SÃO PEDRO DO TURVO,362
SÃO ROQUE,69
SÃO SEBASTIÃO,196
SÃO SEBASTIÃO DA GRAMA,253
SÃO SIMÃO,300
SÃO VICENTE,72
SARAPUÍ,156
SARUTAIÁ,346
SEBASTIANÓPOLIS DO SUL,517
SERRA AZUL,317
SERRA NEGRA,142
SERRANA,338
SERTÃOZINHO,356
SETE BARRAS,202
SEVERÍNIA,436
SILVEIRAS,219
SOCORRO,138
SOROCABA,99
SUD MENNUCCI,625
SUMARÉ,121
SUZANÁPOLIS,638
SUZANO,49
TABAPUÃ,422
TABATINGA,344
TABOÃO DA SERRA,16
TACIBA,543
TAGUAÍ,347
TAIAÇU,385
TAIÚVA,379
TAMBAÚ,274
TANABI,491
